I2C0_SCL,GPIO38
I2C0_SDA,GPIO39
I2C1_SCL,GPIO48
I2C1_SDA,GPIO47
UART0_TX,GPIO43
UART0_RX,GPIO44
UART1_TX,GPIO41
UART1_RX,GPIO42
UART2_TX,GPIO2
UART2_RX,GPIO1
SW1,GPIO4
SW2,GPIO5
SW3,GPIO6
SW4,GPIO7
LED,GPIO9
